TimeStamp,ClosingPrice
2016-03-19T00:00:00,0.02558160
2016-03-20T00:00:00,0.02500244
2016-03-21T00:00:00,0.02905000
2016-03-22T00:00:00,0.02724653
2016-03-23T00:00:00,0.02970000
2016-03-24T00:00:00,0.02677722
2016-03-25T00:00:00,0.02585689
2016-03-26T00:00:00,0.02639948
2016-03-27T00:00:00,0.02427676
2016-03-28T00:00:00,0.02764797
2016-03-29T00:00:00,0.02785323
2016-03-30T00:00:00,0.02880700
2016-03-31T00:00:00,0.02751365
2016-04-01T00:00:00,0.02793004
2016-04-02T00:00:00,0.02745384
2016-04-03T00:00:00,0.02759999
2016-04-04T00:00:00,0.02654200
2016-04-05T00:00:00,0.02452597
2016-04-06T00:00:00,0.02504308
2016-04-07T00:00:00,0.02364003
2016-04-08T00:00:00,0.02307188
2016-04-09T00:00:00,0.02170626
2016-04-10T00:00:00,0.02111906
2016-04-11T00:00:00,0.02046019
2016-04-12T00:00:00,0.01754225
2016-04-13T00:00:00,0.01885105
2016-04-14T00:00:00,0.01962500
2016-04-15T00:00:00,0.01917322
2016-04-16T00:00:00,0.01997622
2016-04-17T00:00:00,0.02162690
2016-04-18T00:00:00,0.02115035
2016-04-19T00:00:00,0.02010398
2016-04-20T00:00:00,0.01919511
2016-04-21T00:00:00,0.01818322
2016-04-22T00:00:00,0.01735002
2016-04-23T00:00:00,0.01838833
2016-04-24T00:00:00,0.01752211
2016-04-25T00:00:00,0.01639946
2016-04-26T00:00:00,0.01594986
2016-04-27T00:00:00,0.01747226
2016-04-28T00:00:00,0.01596385
2016-04-29T00:00:00,0.01635000
2016-04-30T00:00:00,0.01971441
2016-05-01T00:00:00,0.01979861
2016-05-02T00:00:00,0.02279989
2016-05-03T00:00:00,0.02072406
2016-05-04T00:00:00,0.02117071
2016-05-05T00:00:00,0.02180051
2016-05-06T00:00:00,0.02040000
2016-05-07T00:00:00,0.02045376
2016-05-08T00:00:00,0.02083359
2016-05-09T00:00:00,0.02025188
2016-05-10T00:00:00,0.02077383
2016-05-11T00:00:00,0.02207042
2016-05-12T00:00:00,0.02222221
2016-05-13T00:00:00,0.02306870
2016-05-14T00:00:00,0.02260660
2016-05-15T00:00:00,0.02170195
2016-05-16T00:00:00,0.02460000
2016-05-17T00:00:00,0.02671101
2016-05-18T00:00:00,0.02970000
2016-05-19T00:00:00,0.03375000
2016-05-20T00:00:00,0.03080001
2016-05-21T00:00:00,0.03145182
2016-05-22T00:00:00,0.03266615
2016-05-23T00:00:00,0.03010372
2016-05-24T00:00:00,0.02849000
2016-05-25T00:00:00,0.02800000
2016-05-26T00:00:00,0.02751891
2016-05-27T00:00:00,0.02393000
2016-05-28T00:00:00,0.02232001
2016-05-29T00:00:00,0.02336417
2016-05-30T00:00:00,0.02370001
2016-05-31T00:00:00,0.02651000
2016-06-01T00:00:00,0.02605011
2016-06-02T00:00:00,0.02560000
2016-06-03T00:00:00,0.02450000
2016-06-04T00:00:00,0.02400079
2016-06-05T00:00:00,0.02424000
2016-06-06T00:00:00,0.02377619
2016-06-07T00:00:00,0.02508980
2016-06-08T00:00:00,0.02477150
2016-06-09T00:00:00,0.02498279
2016-06-10T00:00:00,0.02400010
2016-06-11T00:00:00,0.02339000
2016-06-12T00:00:00,0.02353727
2016-06-13T00:00:00,0.02494908
2016-06-14T00:00:00,0.02755555
2016-06-15T00:00:00,0.02646654
2016-06-16T00:00:00,0.02681110
2016-06-17T00:00:00,0.02050000
2016-06-18T00:00:00,0.01498501
2016-06-19T00:00:00,0.01600002
2016-06-20T00:00:00,0.01600122
2016-06-21T00:00:00,0.01979799
2016-06-22T00:00:00,0.02218008
2016-06-23T00:00:00,0.02171608
2016-06-24T00:00:00,0.02148890
2016-06-25T00:00:00,0.02133375
2016-06-26T00:00:00,0.02180652
2016-06-27T00:00:00,0.02138453
2016-06-28T00:00:00,0.01889999
2016-06-29T00:00:00,0.02003168
2016-06-30T00:00:00,0.01851000
2016-07-01T00:00:00,0.01792351
2016-07-02T00:00:00,0.01740208
2016-07-03T00:00:00,0.01770222
2016-07-04T00:00:00,0.01695788
2016-07-05T00:00:00,0.01578577
2016-07-06T00:00:00,0.01553009
2016-07-07T00:00:00,0.01572220
2016-07-08T00:00:00,0.01705000
2016-07-09T00:00:00,0.01677777
2016-07-10T00:00:00,0.01690112
2016-07-11T00:00:00,0.01616000
2016-07-12T00:00:00,0.01592589
2016-07-13T00:00:00,0.01600000
2016-07-14T00:00:00,0.01742529
2016-07-15T00:00:00,0.01790006
2016-07-16T00:00:00,0.01755001
2016-07-17T00:00:00,0.01632685
2016-07-18T00:00:00,0.01635081
2016-07-19T00:00:00,0.01712693
2016-07-20T00:00:00,0.01879837
2016-07-21T00:00:00,0.01897499
2016-07-22T00:00:00,0.02261427
2016-07-23T00:00:00,0.02184999
2016-07-24T00:00:00,0.01923472
2016-07-25T00:00:00,0.02101870
2016-07-26T00:00:00,0.01849280
2016-07-27T00:00:00,0.01980077
2016-07-28T00:00:00,0.01957777
2016-07-29T00:00:00,0.01938002
2016-07-30T00:00:00,0.01900000
2016-07-31T00:00:00,0.01885971
2016-08-01T00:00:00,0.01806000
2016-08-02T00:00:00,0.01616107
2016-08-03T00:00:00,0.01815930
2016-08-04T00:00:00,0.01900057
2016-08-05T00:00:00,0.01896700
2016-08-06T00:00:00,0.01848376
2016-08-07T00:00:00,0.01837025
