Timestamp,Open_a,Open_b,High_a,High_b,Low_a,Low_b,Close_a,Close_b,Volume
2018-05-18,12073.68470025,8308.86947168,12189.65847993,8390.12379732,11893.93023364,8193.09984971,11895.26163747,8225.46875322,1009.12187488
2018-05-17,12124.67481140,8374.51042259,12466.41209587,8622.53469825,11734.22146078,8065.77461353,12073.68470025,8308.86947168,340.01948062
2018-05-16,12687.61694314,8708.01792112,12868.14632027,8845.04731117,12119.35268546,8349.42643971,12124.67481140,8374.51042259,344.76648785
2018-05-15,12996.15444120,8986.83829775,13011.14232052,9000.48562259,12531.33239469,8667.84143527,12697.76590963,8714.98356190,26.70228047
2018-05-14,12493.56330508,8702.11340800,13002.55445246,8992.37960468,12132.61009106,8435.72228530,12996.15444120,8986.83829775,688.39955711
2018-05-13,12811.62395254,8927.02780374,12832.62786678,8943.16399891,12129.60916730,8451.80585117,12493.56330508,8702.11340800,336.03483906
2018-05-12,13683.18969494,9534.32720966,13698.29951295,9544.85559903,12798.60234648,8917.95446223,12806.12901378,8923.19897835,342.34815355
2018-05-11,13730.62266414,9571.71325489,13732.30195002,9575.18287178,12870.98856589,8974.46096229,13683.25462729,9534.37245395,338.89873645
2018-05-10,13017.72320461,9038.58540465,13803.14434850,9625.59682435,12643.72388801,8764.53287361,13730.66234041,9571.74091350,333.27700726
2018-05-09,13613.99190524,9487.77015333,13683.41401142,9495.45372511,12824.18160149,8915.06725239,13017.72320461,9038.58540465,337.88607633
2018-05-08,13333.75783319,9356.83262108,13752.26287758,9659.66005533,13216.33941881,9273.78018118,13613.99190524,9487.77015333,669.60683012
2018-05-07,13592.47463466,9545.99442139,14411.55919483,10114.02784940,13067.07862661,9184.39430357,13333.75906885,9356.83348819,345.01651658
2018-05-06,14155.01295551,9938.94310654,14155.01295551,9938.94310654,13467.56807745,9456.25364851,13592.50946351,9546.01888169,331.33820217
2018-05-05,14143.55263427,9927.39007108,14156.21364665,9939.78617190,13339.99689433,9366.67953543,14154.97891299,9938.91920358,654.66731653
2018-05-04,13510.97051809,9517.12714566,14281.22306599,10029.95667011,13248.98404783,9326.75650219,14143.55263427,9927.39007108,335.27167775
2018-05-03,13210.57968221,9242.04539122,13507.32519055,9514.55937708,12757.44002488,8961.80560836,13505.55578232,9513.31300599,339.06895779
2018-05-02,12554.37365746,8783.91994197,13276.57442942,9323.69245325,12524.10070439,8776.97642903,13210.74878617,9242.16369538,334.96703289
2018-05-01,13510.17345783,9503.05729885,13510.17345783,9503.05729885,12554.62988858,8779.72546628,12555.76796526,8784.89549745,334.90363399
2018-04-30,13495.49537120,9549.41125650,13510.16979479,9568.70798175,13475.88948839,9492.30908749,13510.07757236,9502.98985300,651.73337048
2018-04-29,13513.41085331,9566.14288204,13517.17180659,9570.94665068,13043.26383245,9233.32582897,13501.12566760,9553.39525370,336.00509051
2018-04-28,13264.10488372,9389.65919836,13523.55038687,9573.32065735,12979.17387392,9187.95655046,13513.41085331,9566.14288204,324.70384395
2018-04-27,13373.78288649,9448.94588670,13518.24388947,9587.92161332,12791.24198583,9026.77777147,13297.70884844,9413.44744334,17.13750132
